SIMULATION NAME,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown
PROJECTION,S,E,I,R,All exposed,Daily exposed,Daily new cases,Daily recovered,Daily deaths,All cases,All recovered,All deaths,Active cases
Date,,,,,,,,,,,,,
2020-06-07 06:11:20.430223192,59750569.57327607,153007.53583092542,65823.01804168223,6430600.872851322,6649431.42672393,30279.39321255684,1694.2839202818259,1532.3945576205592,511.6422243113832,243690.1746589869,170179.5121859635,56667.16841163592,16843.494061387486
2020-06-08 06:11:20.430223192,59721030.955014095,149663.92838924695,64395.98046173965,6464910.136134922,6678970.044985908,29538.61826197803,1658.8525409142933,1501.7228329412608,501.42162111704295,245349.0271999012,171681.23501890476,57168.59003275296,16499.202148243487
2020-06-09 06:11:20.430223192,59692219.27752696,146282.2427077992,63108.11690374221,6498391.362861506,6707781.722473047,28811.67748713866,1624.0249926667943,1471.5072370830658,491.35232453562594,246973.052192568,173152.74225598783,57659.942357288586,16160.367579291575
2020-06-10 06:11:20.430223192,59664001.2181057,143034.1183390012,61767.15460045794,6531198.508954841,6735999.7818943,28218.05942125339,1589.7979430673638,1441.7482984765998,481.43449341914584,248562.85013563535,174594.49055446443,58141.37685070773,15826.98273046319
2020-06-11 06:11:20.430223192,59636337.66770181,139956.5941899172,60330.66474790979,6563376.073360364,6763663.332298191,27663.55040389113,1556.1600666140157,1412.4461450894144,471.6681718772954,250119.01020224937,176006.93669955383,58613.04502258503,15499.028480110508
2020-06-12 06:11:20.430223192,59609282.8411951,136953.36215602412,58904.82504924634,6594859.971599632,6790718.158804903,27054.826506711543,1523.1032983592188,1383.6004713563345,462.0533059664191,251642.1135006086,177390.53717091016,59075.098328551445,15176.478001146992
2020-06-13 06:11:20.430223192,59582938.75994585,133859.91448274016,57671.848883810475,6625530.476687606,6817062.240054157,26344.081249253824,1490.628233695972,1355.2106073682837,452.5897262452436,253132.74173430458,178745.74777827846,59527.68805479669,14859.30590122944
2020-06-14 06:11:20.430223192,59557195.94180838,130814.72571471371,56476.25085716043,6655514.081619744,6842805.058191618,25742.81813746132,1458.7361658999957,1327.2756085517956,443.2771257051345,254591.47790020457,180073.02338683026,59970.96518050182,14547.489332872487
2020-06-15 06:11:20.430223192,59531974.49885942,127914.1859805043,55209.2698359194,6684903.045324153,6868026.501140577,25221.442948958836,1427.4193101485323,1299.794248327908,434.11506875918406,256018.8972103531,181372.81763515816,60405.08024926101,14240.999325933939
2020-06-16 06:11:20.430223192,59507283.34430887,125127.80904491743,53903.69877958264,6713686.147866632,6892717.655691132,24691.154550555162,1396.6663510127805,1272.764932542462,425.10302031468905,257415.56356136588,182645.58256770062,60830.1832695757,13939.797724089563
2020-06-17 06:11:20.430223192,59483204.501207985,122320.68981947601,52708.86858195504,6741766.940390584,6916796.498792015,24078.843100883067,1366.4714230454333,1246.185665839763,416.2403562665704,258782.03498441132,183891.76823354038,61246.42362584227,13643.843125028674
2020-06-18 06:11:20.430223192,59459707.26662158,119519.54346922784,51593.778354705704,6769180.411554483,6940293.733378416,23497.23458640091,1336.8330238571448,1220.0541229004994,407.5263500281873,260118.86800826847,185111.82235644088,61653.949975870455,13353.095675957135
2020-06-19 06:11:20.430223192,59436711.72616858,116821.8113175437,50448.368752678485,6796019.093761201,6963289.273831423,22995.540453007445,1307.7459402889513,1194.3677319266612,398.96016461270995,261426.61394855744,186306.19008836756,62052.91014048317,13067.513719706716
2020-06-20 06:11:20.430223192,59414206.14870769,114227.57213170093,49271.29167783501,6822295.987482776,6985794.851292312,22505.577460888773,1279.2008680947426,1169.1236781952284,390.5408649155157,262705.81481665216,187475.3137665628,62443.45100539868,12787.050044690688
2020-06-21 06:11:20.430223192,59392231.92891315,111661.0904190286,48145.91145703871,6847962.069210784,7007769.071086851,21974.219794538803,1251.1905938464888,1144.318860244728,382.26743237001443,263957.00541049865,188619.63262680752,62825.71843776869,12511.654345922434
2020-06-22 06:11:20.430223192,59370800.53439043,109089.72677751127,47107.47757216559,6873003.261259898,7029200.465609575,21431.394522723742,1223.7114806925833,1119.9498838061397,374.13876779753593,265180.71689119126,189739.58251061366,63199.85720556623,12241.277175011368
2020-06-23 06:11:20.430223192,59349844.29858604,106594.41621614809,46064.26293121867,6897498.022266596,7050156.701413962,20956.23580438737,1196.758685106246,1096.0131044931693,366.1536931509103,266377.4755762975,190835.59561510684,63566.01089871714,11975.869062473517
2020-06-24 06:11:20.430223192,59329338.40858116,104194.99202411798,44992.8157647875,6921474.783629938,7070662.591418844,20505.890004881658,1170.3238001946231,1072.5046687701324,358.31096388645614,267547.7993764921,191908.10028387696,63924.321862603596,11715.377230011538
2020-06-25 06:11:20.430223192,59309297.047978655,101855.69606003696,43931.87305283532,6944916.382908471,7090703.952021344,20041.360602499917,1144.3989953722717,1049.4205359676719,350.609283612667,268692.1983718644,192957.52081984465,64274.931146216266,11459.746405803475
2020-06-26 06:11:20.430223192,59289759.8981847,99504.50635564512,42960.75657323405,6967775.83888642,7110241.101815299,19537.149793955497,1118.9797258575895,1026.7565085101987,343.0473089007142,269811.178097722,193984.27732835486,64617.97845511698,11208.922314250165
2020-06-27 06:11:20.430223192,59270685.174047776,97186.31493528513,42028.013551881544,6990101.497465058,7129315.825952224,19074.724136925302,1094.0619057009249,1004.5082758259841,335.6236499401929,270905.24000342295,194988.78560418086,64953.60210505717,10962.852294184922
2020-06-28 06:11:20.430223192,59252021.50293251,94960.0112895614,41066.454480086584,7011953.031297844,7147979.4970674915,18663.67111526709,1069.6376432834136,982.6714427749082,328.33687925897345,271974.87764670636,195971.45704695577,65281.93898431615,10721.481615434444
2020-06-29 06:11:20.430223192,59233759.361505836,92824.79837215676,40075.72132145435,7033341.11880055,7166241.638494161,18262.141426669434,1045.6972422084398,961.2415344883749,321.1855449470665,273020.5748889148,196932.69858144413,65603.12452926321,10484.751778207486
2020-06-30 06:11:20.430223192,59215929.75288487,90722.08485742682,39120.182642861866,7054228.979614838,7184071.247115127,17829.608620965853,1022.2339819894619,940.2140067737998,314.16817343463197,274042.80887090426,197872.91258821794,65917.29270269784,10252.603579988485
2020-07-01 06:11:20.430223192,59198570.61840455,88583.58477625175,38275.10093516159,7074571.695884028,7201430.381595442,17359.13448031526,999.2446581613708,919.5842741634253,307.2832609801266,275042.0535290656,198792.49686238135,66224.57596367797,10024.98070300631
2020-07-02 06:11:20.430223192,59181613.126837246,86494.18384080465,37444.18449402821,7094449.504827917,7218387.873162749,16957.491567307152,976.7245636467676,899.3477230185085,300.5292706312911,276018.7780927124,199691.84458539984,66525.10523430926,9801.828273003295
2020-07-03 06:11:20.430223192,59165008.11972057,84510.84813132102,36562.35534940508,7113919.676798702,7234992.880279428,16605.007116679102,954.6636420961981,879.4996860831288,293.90464431446685,276973.4417348086,200571.34427148296,66819.00987862372,9583.087584701934
2020-07-04 06:11:20.430223192,59148758.65182281,82615.99599625745,35648.10471099619,7132978.247469928,7251242.348177182,16249.467897753231,933.0510770368539,860.0354126769814,287.40781579067857,277906.49281184544,201431.37968415994,67106.4176944144,9368.695433271103
2020-07-05 06:11:20.430223192,59132919.31016449,80718.47287870207,34802.40399941284,7151560.812957394,7267081.689835509,15839.341658327729,911.8808507739168,840.9500834051778,281.037205530057,278818.3736626194,202272.32976756513,67387.45489994445,9158.588995109807
2020-07-06 06:11:20.430223192,59117504.17644754,78785.37331256134,34060.97933258642,7169650.470907312,7282496.8235524595,15415.133716950193,891.1505898133214,822.2388547029252,274.79120410345774,279709.5242524327,203094.56862226804,67662.24610404791,8952.709526116741
2020-07-07 06:11:20.430223192,59102428.755059056,76925.23667845473,33300.95200658597,7187346.056255897,7297572.2449409375,15075.421388478018,870.8547817556514,803.8968667063498,268.6681683870218,280580.37903418834,203898.46548897438,67930.91427243494,8750.999272779023
2020-07-08 06:11:20.430223192,59087665.51373399,75165.24635482111,32490.64753791537,7204679.592373272,7312335.486266009,14763.241325071082,850.9825401571125,785.919193819638,262.66643776690546,281431.36157434544,204684.384682794,68193.58071020184,8553.396181349584
2020-07-09 06:11:20.430223192,59073240.01029851,73456.7639527955,31683.465467318038,7221620.760281371,7326760.989701484,14425.503435475752,831.5238206973615,768.3008023081998,256.7843489710798,282262.88539504283,205452.6854851022,68450.36505917292,8359.8348507677
2020-07-10 06:11:20.430223192,59059204.93840827,71712.50584412836,30976.182781447846,7238107.372966151,7340796.061591727,14035.071890242398,812.4733420088136,751.0365774752853,251.02023089664277,283075.35873705166,206203.7220625775,68701.38529006956,8170.251384404604
2020-07-11 06:11:20.430223192,59045502.9682959,70003.02013280593,30288.529666082784,7254206.48190521,7354498.031704099,13701.97011237219,793.8270243234015,734.1213900078304,245.3723906338526,283869.18576137506,206937.84345258534,68946.75768070342,7984.584628086304
2020-07-12 06:11:20.430223192,59032097.335292794,68369.62785916904,29572.999531649162,7269961.037316387,7367903.664707204,13405.63300310541,775.5768921954784,717.5501194494972,239.8391120693329,284644.76265357056,207655.39357203484,69186.59679277275,7802.772288762979
2020-07-13 06:11:20.430223192,59018992.74706111,66794.4559167957,28848.543394099834,7285365.253627992,7381008.252938888,13104.588231683709,757.7135317657434,701.3176156087834,234.41866667012096,285402.4761853363,208356.7111876436,69421.01545944287,7624.749538249816
2020-07-14 06:11:20.430223192,59006223.818154566,65217.00297012475,28181.98614461865,7300378.192730691,7393777.181845435,12768.928906546906,740.230057468347,685.4186599795474,229.10931930108524,286142.70624280465,209042.12984762315,69650.12477874396,7450.451616437538
2020-07-15 06:11:20.430223192,58993767.43313026,63659.68510726717,27547.090997790267,7315026.790764686,7406233.566869743,12456.385024308227,723.121411191401,669.8479750838901,223.9093250144822,286865.82765399606,209711.97782270703,69874.03410375844,7279.815727530586
2020-07-16 06:11:20.430223192,58981590.34379432,62159.654606718854,26901.063998274032,7329349.937600686,7418410.656205679,12177.089335936122,706.380920167428,654.6002576446604,218.8169281491223,287572.2085741635,210366.5780803517,70092.85103190757,7112.779461904225
2020-07-17 06:11:20.430223192,58969687.41305944,60713.99646805756,26246.123239252876,7343353.467233246,7430313.586940557,11902.930734877475,690.000628323968,639.6701936370957,213.8303688719048,288262.2092024875,211006.2482739888,70306.68140077947,6949.279527719205
2020-07-18 06:11:20.430223192,58958076.80291736,59286.61973943603,25621.770202026804,7357015.8071411755,7441924.197082639,11610.610142081976,673.9739101930729,625.0524575538009,208.94788954007296,288936.18311268056,211631.3007315426,70515.62929031954,6789.253090818413
