SIMULATION NAME,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown
PROJECTION,S,E,I,R,All exposed,Daily exposed,Daily new cases,Daily recovered,Daily deaths,All cases,All recovered,All deaths,Active cases
Date,,,,,,,,,,,,,
2020-03-18 20:28:05.768476652,65706549.53190124,344214.02204807225,102411.31200816832,246826.1340425007,693451.4680987413,130033.79287343833,494.3042529944339,66.11356151302596,28.09480510330151,2469.3110419466598,328.8927949854243,139.86439299474347,2000.5538539664922
2020-03-19 20:28:05.768476652,65554044.04666197,414416.0659564541,124966.53227212852,306574.3551094297,845956.9533380123,152505.48523927107,616.2336141080694,82.72624098118668,35.13452661743824,3085.5446560547293,411.61903596661097,174.9989196121817,2498.9267004759363
2020-03-20 20:28:05.768476652,65382665.923294835,487736.039869673,150570.2196188513,379028.81721662724,1017335.0767051515,171378.12336713914,766.5609382005583,103.49813971404058,43.91872056183414,3852.1055942552875,515.1171756806516,218.91764017401584,3118.07077840062
2020-03-21 20:28:05.768476652,65201658.25189913,555099.5721100634,177948.7715937306,465294.4043970619,1198342.7481008559,181007.67139570438,950.3357502070568,129.45718325784335,54.86146748290248,4802.441344462344,644.5743589384949,273.7791076569183,3884.087877866931
2020-03-22 20:28:05.768476652,65025589.71316277,604700.1071166723,203632.00974054105,566079.169979993,1374411.2868372065,176068.5387363506,1172.1106753347767,161.872585531481,68.45789912978218,5974.552019797121,806.446944469976,342.2370067867005,4825.868068540444
2020-03-23 20:28:05.768476652,64872829.13522187,623367.7370570835,224828.43537659306,678975.692344439,1527171.8647781154,152760.57794090896,1434.7119888185732,202.2993765515714,85.2839335263959,7409.264008615694,1008.7463210215474,427.5209403130964,5972.99674728105
2020-03-24 20:28:05.768476652,64750381.36325672,611093.2696052978,237558.2430911701,800968.1240467883,1649619.6367432564,122447.77196514094,1737.6306815646224,252.6193373331861,105.98032973454451,9146.894690180317,1261.3656583547336,533.5012700476409,7352.027761777943
2020-03-25 20:28:05.768476652,64650525.51535691,581193.6332065356,240974.26884602307,927307.5825905139,1749475.4846430726,99855.84789981623,2075.599886942242,315.06534139766654,131.21058111975913,11222.49457712256,1576.4309997524,664.7118511674,8981.35172620276
2020-03-26 20:28:05.768476652,64560164.10131891,548748.7620858661,237684.357417442,1053403.7791777612,1839836.8986810693,90361.41403799667,2438.482229990345,392.2063719139952,161.5838977263863,13660.976807112904,1968.6373716663952,826.2957488937864,10866.043686552723
2020-03-27 20:28:05.768476652,64473337.56050411,519470.96916882205,230619.73085736306,1176572.7394696856,1926663.4394958708,86826.54081480158,2812.9020773955276,486.85996676930097,197.54487197541536,16473.87888450843,2455.4973384356963,1023.8406208692018,12994.540925203533
