SIMULATION NAME,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,UK lockdown,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline,Unconstrained baseline
PROJECTION,All exposed,Daily exposed,Daily cases,Daily recovered,Daily deaths,All cases,All recovered,All deaths,Active cases,All exposed,Daily exposed,Daily cases,Daily recovered,Daily deaths,All cases,All recovered,All deaths,Active cases
Date,,,,,,,,,,,,,,,,,,
2020-01-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,2.288004003540968,1.288004003540968,3.470474111539568e-11,7.988262574629179e-20,5.881616589853929e-35,3.470474111539568e-11,7.988262574629179e-20,5.881616589853929e-35,3.470474103551305e-11,2.288004003540968,1.288004003540968,3.470474111539568e-11,7.988262574629179e-20,5.881616589853929e-35,3.470474111539568e-11,7.988262574629179e-20,5.881616589853929e-35,3.470474103551305e-11
2020-01-27,3.3517143386082515,1.0637103350672836,3.290029830585752e-07,1.4021302646394483e-15,4.546033038306952e-24,3.290376877996906e-07,1.4022101472651945e-15,4.546033038365768e-24,3.2903768639748044e-07,3.3517143386082515,1.0637103350672836,3.290029830585752e-07,1.4021302646394483e-15,4.546033038306952e-24,3.290376877996906e-07,1.4022101472651945e-15,4.546033038365768e-24,3.2903768639748044e-07
2020-01-28,4.4817076515853795,1.129993312977128,1.576920653128521e-05,6.175270440795159e-12,1.9059228239368002e-19,1.60982442190849e-05,6.1766726509424246e-12,1.9059682842671838e-19,1.609823804241206e-05,4.4817076515853795,1.129993312977128,1.576920653128521e-05,6.175270440795159e-12,1.9059228239368002e-19,1.60982442190849e-05,6.1766726509424246e-12,1.9059682842671838e-19,1.609823804241206e-05
2020-01-29,5.826762067792675,1.3450544162072955,0.0001569295584125826,5.388014868760762e-10,1.4622392758291386e-15,0.0001730278026316675,5.449781595270186e-10,1.4624298726575653e-15,0.00017302725765204555,5.826762067792675,1.3450544162072955,0.0001569295584125826,5.388014868760762e-10,1.4622392758291386e-15,0.0001730278026316675,5.449781595270186e-10,1.4624298726575653e-15,0.00017302725765204555
2020-01-30,7.492239102242176,1.6654770344495011,0.0007276737116730299,1.659751606240915e-08,6.570115025622093e-13,0.0009007015143046974,1.714249422193617e-08,6.584739324348669e-13,0.0009006843711520015,7.492239102242176,1.6654770344495011,0.0007276737116730299,1.659751606240915e-08,6.570115025622093e-13,0.0009007015143046974,1.714249422193617e-08,6.584739324348669e-13,0.0009006843711520015
2020-01-31,9.578477441195567,2.0862383389533905,0.0021610027781208646,2.2946951082133487e-07,5.817988244680112e-11,0.0030617042924255622,2.46612005043271e-07,5.883835637923599e-11,0.0030614576215821625,9.578477441195567,2.0862383389533905,0.0021610027781208646,2.2946951082133487e-07,5.817988244680112e-11,0.0030617042924255622,2.46612005043271e-07,5.883835637923599e-11,0.0030614576215821625
2020-02-01,12.204462978688428,2.625985537492861,0.004821139777447353,1.836246898063056e-06,2.097721399229941e-09,0.007882844069872916,2.082858903106327e-06,2.156559755609177e-09,0.007880759054410054,12.204462978688428,2.625985537492861,0.004821139777447353,1.836246898063056e-06,2.097721399229941e-09,0.007882844069872916,2.082858903106327e-06,2.156559755609177e-09,0.007880759054410054
2020-02-02,15.510107405453368,3.3056444267649407,0.008865019070784845,9.866388839821087e-06,3.726510709490357e-08,0.01674786314065776,1.1949247742927413e-05,3.942166685051275e-08,0.016735874471247983,15.510107405453368,3.3056444267649407,0.008865019070784845,9.866388839821087e-06,3.726510709490357e-08,0.01674786314065776,1.1949247742927413e-05,3.942166685051275e-08,0.016735874471247983
2020-02-03,19.675604498543944,4.1654970930905755,0.014261178073545485,3.9205891770365426e-05,3.860612593720228e-07,0.031009041214203246,5.115513951329284e-05,4.2548292622253556e-07,0.03095746059176373,19.675604498543944,4.1654970930905755,0.014261178073545485,3.9205891770365426e-05,3.860612593720228e-07,0.031009041214203246,5.115513951329284e-05,4.2548292622253556e-07,0.03095746059176373
2020-02-04,24.925468117068448,5.249863618524504,0.020916823851256552,0.00012316015519746423,2.6275906089793576e-06,0.0519258650654598,0.00017431529471075707,3.053073535201893e-06,0.05174849669721384,24.925468117068448,5.249863618524504,0.020916823851256552,0.00012316015519746423,2.6275906089793576e-06,0.0519258650654598,0.00017431529471075707,3.053073535201893e-06,0.05174849669721384
2020-02-05,31.53541255342665,6.609944436358202,0.02881691444037282,0.00032094063205853927,1.279695761419572e-05,0.08074277950583261,0.0004952559267692963,1.5850031149397612e-05,0.08023167354791391,31.53541255342665,6.609944436358202,0.02881691444037282,0.00032094063205853927,1.279695761419572e-05,0.08074277950583261,0.0004952559267692963,1.5850031149397612e-05,0.08023167354791391
2020-02-06,39.865468911397876,8.330056357971227,0.03811497837772229,0.0007192653311302672,4.754165263282066e-05,0.1188577578835549,0.0012145212578995633,6.339168378221827e-05,0.11757984494187312,39.865468911397876,8.330056357971227,0.03811497837772229,0.0007192653311302672,4.754165263282066e-05,0.1188577578835549,0.0012145212578995633,6.339168378221827e-05,0.11757984494187312
